,title,url,thumbnail_url,channel,description,views
0,Nicki Minaj feat. Fivio Foreign - We Go Up (Official Music Video),https://www.youtube.com/watch?v=KSd4nGoNftg,https://i.ytimg.com/vi/KSd4nGoNftg/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDNkwMrx_n-p-3zk4yjuH48wlqtLQ,Nicki Minaj,"Official music video for Nicki Minaj feat. Fivio Foreign ""We Go Up"", available everywhere now: https://NickiMinaj.lnk.to/WeGoUp Subscribe to Nicki Minaj on YouTube: http://bit.ly/NickiMinajYTSub...","1.2M views
19 hours ago"
1,Marvel Studios' Thor: Love and Thunder | Official Teaser,https://www.youtube.com/watch?v=tgB1wUcmbbw,https://i.ytimg.com/vi/tgB1wUcmbbw/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD_8z4N0iQ-tu40b-8RECdoG66_VA,Marvel Entertainment,Here it is. ❤️ + ⚡ Marvel Studios' Thor: Love and Thunder arrives only in theaters July 8. The film finds Thor (Chris Hemsworth) on a journey unlike anything he’s ever faced –...,"24M views
2 days ago"
2,"King Lil Jay - ""First Day Clout"" | Shot By @aSoloVision",https://www.youtube.com/watch?v=_0ppLEQ1oAg,https://i.ytimg.com/vi/_0ppLEQ1oAg/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBzGfwsJIHXQrW3sYVIxQjX7z5Bsg,king liljay,"King Lil Jay - First Day Clout (Official Music Video) Listen to ""First Day Clout"", available now: Merch: https://kingliljay.com/ Follow King Lil Jay: Instagram - https://instagram.com/wto_ceo...","574K views
19 hours ago"
3,Johnny Depp Testifies On Why He's Suing Amber Heard For Defamation,https://www.youtube.com/watch?v=JYVpwc3TvZU,,Law&Crime Network,Johnny Depp took the stand on Tuesday and began his testimony by explaining why he's suing Amber Heard for defamation. Actor Johnny Depp is suing ex-wife Amber Heard for $50 million for defamation...,"2.4M views
19 hours ago"
4,I Trapped the Ender Dragon in Minecraft Hardcore,https://www.youtube.com/watch?v=3x4D6A12Ql8,,sandiction,I Caught the Ender Dragon in Hardcore Minecraft Watch from the beginning: youtube.com/playlist?list=PLW_SBxpGDR6WdfYF59PsjLSJuVTdUOJzx Watch the last one: youtu.be/Ve_4oC1kjEQ ➽Merch -...,"1.6M views
19 hours ago"
5,Our Wedding,https://www.youtube.com/watch?v=JPO0fJIt2W8,,shane,BONUS SCENE at the END! :) NEW MERCH! with SPRING Colors Out Now! https://www.shanedawsonmerch.com/ PODCAST IG https://www.instagram.com/shanedawsonpodcast/?hl=en @ShaneDawsonPodcast My 2nd...,"873K views
17 hours ago"
6,Liverpool v. Manchester United | PREMIER LEAGUE HIGHLIGHTS | 4/19/2022 | NBC Sports,https://www.youtube.com/watch?v=8hBQqSE5NfY,,NBC Sports,Liverpool played Manchester United off the pitch to secure three crucial points that sent the Reds back to the top of the Premier League table. #NBCSports #PremierLeague #Liverpool #ManUnited...,"667K views
16 hours ago"
7,Mr. Beast Steals The Bad Guys Movie,https://www.youtube.com/watch?v=aLjplzWDGp8,,Universal Pictures,The Bad Guys - In Theaters Friday. Get tickets NOW! https://uni.pictures/TheBadGuys_Tickets Nobody has ever failed so hard at trying to be good as The Bad Guys. In the new action comedy...,"1M views
17 hours ago"
8,MAJIN BUU: THE ULTIMATE MENACE,https://www.youtube.com/watch?v=Q369FUvrW9I,,Cj Dachamp,Buu was just different. LINK TO SECOND CHANNEL - https://www.youtube.com/channel/UCzSN... Also follow my other socials for updates on content. My Other Socials - Instagram - https://www.instagra...,"440K views
13 hours ago"
9,Inside the NBA reacts to Nuggets vs Warriors Game 2 Highlights | 2022 NBA Playoffs,https://www.youtube.com/watch?v=S3EK3RDrovs,,House of Highlights,"Denver Nuggets vs Golden State Warriors - Full Game 2 Highlights | April 18, 2022 | First Round, 2022 NBA Playoffs 📌 SHOP OUR MERCH: https://hoh.world 📌 Follow our Instagram: https://www.inst...","1.3M views
1 day ago"
